LLR,prediction,true_label
-25.60820615324299,0,0.0
-20.071021647725903,0,0.0
-26.435478698321944,0,0.0
-24.858461953067213,0,0.0
-21.892920717096892,0,0.0
-25.572264760633956,0,0.0
-34.20198708089523,0,0.0
-34.95457747408426,0,0.0
-24.386640245472275,0,0.0
-22.416385556263098,0,0.0
-28.01575998390218,0,0.0
-33.480195192839,0,0.0
-22.620298920435985,0,0.0
-26.12163484748959,0,0.0
-31.951948433940558,0,0.0
-23.946431897251358,0,0.0
-23.60424437839351,0,0.0
-13.957707764297243,0,0.0
-16.31163185803053,0,0.0
-27.130361332370125,0,0.0
-22.166935638692962,0,0.0
-43.952683713737876,0,0.0
-37.950039695232874,0,0.0
-27.60457512337089,0,0.0
-33.60394436488484,0,0.0
-28.53937952165777,0,0.0
-37.45127948163878,0,0.0
-21.003881350428408,0,0.0
-32.64753508381689,0,0.0
-25.848006853947766,0,0.0
-56.43802258347278,0,0.0
-31.90004145760974,0,0.0
-36.71668235356961,0,0.0
-38.829500389551185,0,0.0
-26.265165904722206,0,0.0
-18.37135225042681,0,0.0
-15.233501526014251,0,0.0
-25.45338741626107,0,0.0
-26.07387221424111,0,0.0
-36.67222598208903,0,0.0
-30.014451252402345,0,0.0
-35.53983069348063,0,0.0
-21.693291220660388,0,0.0
-33.69787336771886,0,0.0
-29.777847777465478,0,0.0
-28.52492934494731,0,0.0
-19.66446220845672,0,0.0
-26.46147256377975,0,0.0
-23.662704464246758,0,0.0
-28.57887488372121,0,0.0
-17.734880234162276,0,0.0
-19.223229611801543,0,0.0
-31.40954646507455,0,0.0
-25.614315536664513,0,0.0
-26.090742135065025,0,0.0
-22.044854645093153,0,0.0
-30.774626403427508,0,0.0
-32.23508170651968,0,0.0
-22.620113111729957,0,0.0
-38.36610902775067,0,0.0
-38.669172372328894,0,0.0
-8.94728650371177,-1,0.0
-22.069092136551077,0,0.0
-23.84267014312764,0,0.0
-30.222690210706382,0,0.0
-32.686522493306455,0,0.0
-27.824043322111986,0,0.0
-19.777272591928416,0,0.0
-21.20081904314008,0,0.0
-20.312432291875666,0,0.0
-36.99454948702766,0,0.0
-33.45431769197364,0,0.0
-32.83395581060332,0,0.0
-30.55783311744085,0,0.0
-15.334953261387044,0,0.0
-22.297755759020156,0,0.0
-22.114292483414086,0,0.0
-28.719361435227242,0,0.0
-27.813271536183194,0,0.0
-18.85371562171463,0,0.0
-44.72340495216212,0,0.0
-21.437664338060383,0,0.0
-32.957002500230786,0,0.0
-23.284108651137924,0,0.0
-27.274387704008138,0,0.0
-33.7802914923166,0,0.0
-27.202202369596932,0,0.0
-18.4817879435148,0,0.0
-32.661285124554105,0,0.0
-19.286397821527082,0,0.0
-30.520937500115267,0,0.0
-29.289217299869417,0,0.0
-33.135424648810485,0,0.0
-38.70821495656965,0,0.0
-29.67564675360247,0,0.0
-29.753866744035406,0,0.0
-39.142357577190744,0,0.0
-31.184542025844113,0,0.0
-30.681912058897186,0,0.0
-21.35333211404448,0,0.0
-21.773990008435085,0,0.0
-26.755723069100444,0,0.0
-22.06354201362016,0,0.0
-32.06354627202053,0,0.0
-22.76231256153025,0,0.0
-29.033826249945925,0,0.0
-37.203571271392946,0,0.0
-20.443525709532594,0,0.0
-20.94165248779735,0,0.0
-20.308916818259718,0,0.0
-15.874910088602789,0,0.0
-31.84937811064286,0,0.0
-26.844298521098345,0,0.0
-18.40914304339904,0,0.0
-19.909865330669177,0,0.0
-24.500460659208834,0,0.0
-12.694479589465063,0,0.0
-16.658695402248753,0,0.0
-23.85762612818723,0,0.0
-36.484831383449055,0,0.0
-37.09520570660301,0,0.0
-20.70060381295535,0,0.0
-20.386516945572545,0,0.0
-31.066466585167774,0,0.0
-8.855351858787163,-1,0.0
-19.901653707559586,0,0.0
-19.056813383898547,0,0.0
-35.58019763155917,0,0.0
-21.84660276466185,0,0.0
-25.814294405954197,0,0.0
-19.942091409755257,0,0.0
-39.155878324385334,0,0.0
-31.677757067885914,0,0.0
-18.86691183961448,0,0.0
-32.59155901199064,0,0.0
-43.84327262646174,0,0.0
-23.341460103578328,0,0.0
-22.61790718804305,0,0.0
