P_hotspot,prediction,true_label
7.559574932000147e-13,0,0.0
1.9198444920364832e-10,0,0.0
3.305350164468794e-13,0,0.0
1.5999527056909291e-12,0,0.0
3.1047407353358376e-11,0,0.0
7.83621827647747e-13,0,0.0
1.4004439787360243e-16,0,0.0
6.598115076814447e-17,0,0.0
2.5645827054647957e-12,0,0.0
1.8394477186510626e-11,0,0.0
6.806283468599815e-14,0,0.0
2.882278715829062e-16,0,0.0
1.5001303577360144e-11,0,0.0
4.5239534491147625e-13,0,0.0
1.328755603751922e-15,0,0.0
3.98287581788939e-12,0,0.0
5.607985950873373e-12,0,0.0
8.674500977024744e-08,0,0.0
8.240399927887795e-09,0,0.0
1.6498094288216294e-13,0,0.0
2.360598742298754e-11,0,0.0
8.158155862099405e-21,0,0.0
3.299948577139086e-18,0,0.0
1.0267987909875634e-13,0,0.0
2.5467856382917515e-16,0,0.0
4.0318554815807694e-14,0,0.0
5.43395429077447e-18,0,0.0
7.553186894538873e-11,0,0.0
6.627590478669325e-16,0,0.0
5.947757525100285e-13,0,0.0
3.085163768551536e-26,0,0.0
1.3995487235079103e-15,0,0.0
1.1327849229603131e-17,0,0.0
1.369500659587775e-18,0,0.0
3.9190732545873886e-13,0,0.0
1.0505653968917524e-09,0,0.0
2.422001103446883e-08,0,0.0
8.825397988650795e-13,0,0.0
4.745272701206907e-13,0,0.0
1.18428060496107e-17,0,0.0
9.223366024422325e-15,0,0.0
3.674917907882335e-17,0,0.0
3.7907341567574286e-11,0,0.0
2.318459663881839e-16,0,0.0
1.1685438855479801e-14,0,0.0
4.090539481711371e-14,0,0.0
2.882919881231895e-10,0,0.0
3.2205384051541813e-13,0,0.0
5.289541444652504e-12,0,0.0
3.87571950857541e-14,0,0.0
1.985360496157077e-09,0,0.0
4.481851421105798e-10,0,0.0
2.2856371753752855e-15,0,0.0
7.513531382299378e-13,0,0.0
4.665891783947892e-13,0,0.0
2.6671121220253282e-11,0,0.0
4.3127031931045316e-15,0,0.0
1.0011102112256865e-15,0,0.0
1.500409120914155e-11,0,0.0
2.1767600444652266e-18,0,0.0
1.6076511626471066e-18,0,0.0
1.300879871012235e-05,0,0.0
2.6032451291558292e-11,0,0.0
4.418348040794612e-12,0,0.0
7.489492896838857e-15,0,0.0
6.374170096341873e-16,0,0.0
8.244636657443606e-14,0,0.0
2.575370081501949e-10,0,0.0
6.202992809160103e-11,0,0.0
1.5080743090347127e-10,0,0.0
8.57968409340105e-18,0,0.0
2.957838316141025e-16,0,0.0
5.500398720831012e-16,0,0.0
5.356753945660732e-15,0,0.0
2.1883380351941032e-08,0,0.0
2.0711316959419353e-11,0,0.0
2.4881972356193824e-11,0,0.0
3.3677496904996696e-14,0,0.0
8.333926158912399e-14,0,0.0
6.485378714401971e-10,0,0.0
3.774609402151126e-21,0,0.0
4.89486448795492e-11,0,0.0
4.863575634591204e-16,0,0.0
7.723961435883521e-12,0,0.0
1.4285120983485376e-13,0,0.0
2.1350389767310984e-16,0,0.0
1.5354427045509272e-13,0,0.0
9.407223884570796e-10,0,0.0
6.537084496016878e-16,0,0.0
4.2074973405063776e-10,0,0.0
5.558085985598838e-15,0,0.0
1.904822653659466e-14,0,0.0
4.0688147714572666e-16,0,0.0
1.5460938051031346e-18,0,0.0
1.294286341135014e-14,0,0.0
1.196905486590195e-14,0,0.0
1.0015902668433739e-18,0,0.0
2.862368062378282e-15,0,0.0
4.731674908113987e-15,0,0.0
5.325565035092285e-11,0,0.0
3.49684425894002e-11,0,0.0
2.399590377697829e-13,0,0.0
2.6177336289271966e-11,0,0.0
1.1884441680511456e-15,0,0.0
1.30152723149742e-11,0,0.0
2.459061957111548e-14,0,0.0
6.961363146181775e-18,0,0.0
1.3227860116703632e-10,0,0.0
